"",id,abstract
21,4290008,"The perovskite materials with the chemical structure ABX3 have garnered significant attention due to their versatile applications in optoelectronics, solar cells, and catalysis. Accurately predicting lattice constants (LC) is essential to optimizing the performance of these materials. Yet, traditional experimental methods such as X-ray diffraction and density functional theory are limited by their time and computational expense. This study explores the potential of quantum machine learning, particularly Quantum Support Vector Regression (QSVR), compared with classical approaches, such as XGBoost (XGB), in LC prediction on an ABX3 dataset comprising 122 compounds. The classical XGB model outperformed others with exceptional metrics (R2 = 0.99, RMSE = 0.009, MAE = 0.007), while QSVR demonstrated competitive accuracy (R2 = 0.97, RMSE = 0.064, MAE = 0.062), highlighting its potential as a quantum-enhanced alternative for material property predictions. The quantum feature map optimization improved the QSVR model's ability to process high-dimensional data, albeit slightly hindered by coherence limitations. This study contributes a comparative perspective on classical and quantum approaches, paving the way for hybrid methods that harness the computational efficiency of quantum algorithms alongside the robustness of classical models for materials informatics. © 2025 Elsevier B.V."
163,4289686,"Credit cards are a common form of payment not only because they are extremely convenient to use but also because they are widely accepted. Credit cards are not only very easy to use, but they are also readily available. On account of the fact that it is so widely used, there is a substantial amount of concern regarding the protection of sensitive data from fraudulent activities and access by unauthorised individuals. For the purpose of preserving the trust and confidence of users, it is of the utmost importance to make certain that proper security measures are in place. Quantum machine learning (QML) is gaining popularity for classification applications, and a considerable number of the suggestions that have been made for it involve the utilisation of many qubits. This type of learning is becoming increasingly common. It is essential to make every effort to optimise the efficiency and effectiveness of each qubit before adding additional qubits. This should be done before adding more qubits. This is due to the fact that it is probable that these circuits will not always be able to function effectively in the generation of noisy intermediate-scale quantum (NISQ) systems. When compared to individual classifiers, traditional machine learning approaches, and the model that was recommended, it was discovered that the proposed model was more effective in reducing the obstacles connected with detecting credit card fraud. This concluded that the proposed model was more effective. When compared to earlier models, the model that was suggested has a greater degree of performance in terms of accuracy, precision, recall, and F1-score performance characteristics. This is the case when those parameters are measured. The findings that have been provided here provide a foundation for the creation of fraud detection algorithms that are more resilient and flexible. This is something that will become increasingly required as the number of methods that credit card fraud is committed continues to expand. ©2025 The Authors. Published by AnaPub Publications."
165,4289683,"Quantum machine learning (QML) is an emerging research field, which is devoted to devising and implementing quantum algorithms that could enable machine learning faster than that of classical computers. In this article, a hierarchic quantum mechanics-based framework is investigated to implement both the feature extraction and classification in the electroencephalogram (EEG) signal. First, the classical EEG signal dataset is prepared as a quantum state while the sign of the data point is preserved. The prepared quantum state is then evolved with the quantum wavelet packet transformation (QWPT) and the wavelet packet energy entropy (WPEE) feature is extracted as the input of the subsequent quantum classifier. We finally propose the improved quantum support vector machine with the arbitrary nonlinear kernel, which is employed to predict the label of the EEG signal. The complexity analysis indicates that the proposed framework provides exponential speedup over the same structured classical counterpart. Besides, the quantitative experimental processing verify the feasibility and validity.  © 2013 IEEE."
8,4290028,"With the rapid advance of quantum machine learning, several proposals for the quantum-analogue of convolutional neural network (CNN) have emerged. In this work, we benchmark fully parameterized quantum convolutional neural networks (QCNNs) for classical data classification. In particular, we propose a quantum neural network model inspired by CNN that only uses two-qubit interactions throughout the entire algorithm. We investigate the performance of various QCNN models differentiated by structures of parameterized quantum circuits, quantum data encoding methods, classical data pre-processing methods, cost functions and optimizers on MNIST and Fashion MNIST datasets. In most instances, QCNN achieved excellent classification accuracy despite having a small number of free parameters. The QCNN models performed noticeably better than CNN models under the similar training conditions. Since the QCNN algorithm presented in this work utilizes fully parameterized and shallow-depth quantum circuits, it is suitable for Noisy Intermediate-Scale Quantum (NISQ) devices. © 2022, The Author(s), under exclusive licence to Springer Nature Switzerland AG."
109,4289821,"We provide a robust defence to adversarial attacks on discriminative algorithms. Neural networks are naturally vulnerable to small, tailored perturbations in the input data that lead to wrong predictions. On the contrary, generative models attempt to learn the distribution underlying a dataset, making them inherently more robust to small perturbations. We use Boltzmann machines for discrimination purposes as attack-resistant classifiers, and compare them against standard state-of-the-art adversarial defences. We find improvements ranging from 5% to 72% against attacks with Boltzmann machines on the MNIST dataset. We furthermore complement the training with quantum-enhanced sampling from the D-Wave 2000Q annealer, finding processing comparable with classical techniques and with marginal improvements in some cases. These processing underline the relevance of probabilistic methods in constructing neural networks and highlight a novel scenario of practical relevance where quantum computers, even with limited hardware capabilities, could provide advantages over classical computers. © 2021 The Author(s)."
164,4289684,"The application of quantum machine learning to large-scale high-resolution image datasets is not yet possible due to the limited number of qubits and relatively high level of noise in the current generation of quantum devices. In this work, this challenge is addressed by proposing a quantum transfer learning (QTL) architecture that integrates quantum variational circuits with a classical machine learning network pre-trained on ImageNet dataset. Through a systematic set of simulations over a variety of image datasets such as Ants & Bees, CIFAR-10, and Road Sign Detection, the superior performance of the QTL approach over classical and quantum machine learning without involving transfer learning is demonstrated. Furthermore, the adversarial robustness of QTL architecture with and without adversarial training is evaluated, confirming that our QTL method is adversarially robust against data manipulation attacks and outperforms classical methods. © 2024 The Author(s). Advanced Quantum Technologies published by Wiley-VCH GmbH."
68,4289918,"Forecasting commodity prices is challenging due to inherent nonlinearity, high volatility, and substantial noise in time-series data. While traditional statistical methods and deep learning models can partially capture such complex patterns, they often remain sensitive to noise and struggle with accurately modeling long-term dependencies. Recently, Quantum Machine Learning (QML), which leverages quantum entanglement, superposition, and quantum parallelism, has emerged as a promising alternative. Specifically, Quantum Long Short-Term Memory (QLSTM) augments the classical LSTM structure with quantum circuit computations, potentially enhancing the capacity to model intricate temporal dependencies and nonlinear interactions. However, current quantum computing systems are limited by the noisy intermediate-scale quantum (NISQ) regime, necessitating robust preprocessing strategies to address circuit instability and data noise. To this end, we propose a hybrid predictive framework that combines an autoencoder-based denoising module with the QLSTM model. On a state-vector simulator (PennyLane default.qubit), experimental processing on nickel, aluminium, and gold price datasets demonstrate significant improvements in prediction accuracy, including reduced errors (NRMSE, MAE, MAPE) and higher coefficients of determination (R²) compared to conventional statistical and deep learning approaches. These findings highlight the synergistic advantages of integrating quantum machine learning with effective data preprocessing for commodity price forecasting, offering a methodology that can be extended to a broader range of time-series prediction tasks. Assessing robustness under finite shots and device noise on NISQ hardware is left for future work. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2026."
19,4290011,"In this paper, electrical discharge images are classified using AI with quantum machine learning techniques. These discharges were originated in dielectric mineral oils and were detected by a high-resolution optical sensor. The captured images were processed in a Scikit-image environment to obtain a reduced number of features or qubits for later training of quantum circuits. Two quantum binary classification models were developed and compared in the Qiskit environment for four discharge binary combinations. The first was a quantum variational model (QVM), and the second was a conventional support vector machine (SVM) with a quantum kernel model (QKM). The execution of these two models was realized on three fault-tolerant physical quantum IBM computers. The novelty of this article lies in its application to a real problem, unlike other studies that focus on simulated or theoretical data sets. In addition, a study is carried out on the impact of the number of qubits in QKM, and it is shown that increasing the number of qubits in this model significantly improves the accuracy in the classification of the four binary combinations studied. In the QVM, with two qubits, an accuracy of 92% was observed in the first discharge combination in the three quantum computers used, with a margin of error of 1% compared to the simulation obtained on classical computers. © 2025 by the authors."
0,4290040,"Quantum machine learning endeavors to exploit quantum mechanical effects like superposition, entanglement, and interference to enhance the capabilities of classical machine learning methods. One of the most researched quantum machine learning methodologies presently is the quantum support vector machine (QSVM). Researchers have now developed quantum support vector classifiers and substantiated their potential for accelerating computation and enhancing classification accuracy in practical contexts through experimentation. Nevertheless, the utility of QSVM in regression tasks remains a relatively uncharted territory. In light of this, we introduce a quantum kernel estimation-based quantum support vector regression (QKE-QSVR) model for completing regression tasks. Within this proposed model, classical inputs are encoded as quantum feature vectors using the designed quantum feature map circuit with a variable parameter. The inner product between quantum feature vectors give rise to a trainable quantum kernel, which is subject to optimization through our proposed quantum kernel alignment-based regression (QKAR) algorithm, thereby bolstering the model's predictive accuracy when applied to a specific dataset. Subsequently, the trained quantum kernel is incorporated into the classical support vector regression process to construct the decision function and provide predictions for new data points. In this study, we validate the efficacy of the proposed model using three illustrative examples. Experimental findings underscore that, in comparison to the classical support vector machine model, our proposed model demonstrates superior predictive accuracy. © 2024, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature."
1,4290037,"Quantum computing offers new ways to explore the theory of computation via the laws of quantum mechanics. Due to the rising demand for quantum computing resources, there is growing interest in developing cloud-based quantum resource sharing platforms that enable researchers to test and execute their algorithms on real quantum hardware. These cloud-based systems face a fundamental challenge in efficiently allocating quantum hardware resources to fulfill the growing computational demand of modern Internet of Things (IoT) applications. So far, attempts have been made in order to make efficient resource allocation, ranging from heuristic-based solutions to machine learning. In this work, we employ quantum reinforcement learning based on parameterized quantum circuits to address the resource allocation problem to support large IoT networks. We propose a python-based toolkit called QAISim for the simulation and modeling of Quantum Artificial Intelligence (QAI) models for designing resource management policies in quantum cloud environments. We have simulated policy gradient and Deep Q-Learning algorithms for reinforcement learning. QAISim exhibits a substantial reduction in model complexity compared to its classical counterparts with fewer trainable variables. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026."
