"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Chen S.Y.-C.; Yoo S.","Chen, Samuel Yen-Chi (57218546572); Yoo, Shinjae (24475682400)","57218546572; 24475682400","Federated quantum machine learning","2021","Entropy","23","4","460","","","129","10.3390/e23040460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104124627&doi=10.3390%2Fe23040460&partnerID=40&md5=95407edc0bdc1f3051be2e26eab67724","Computational Science Initiative, Brookhaven National Laboratory, Upton, 11973, NY, United States","Chen S.Y.-C., Computational Science Initiative, Brookhaven National Laboratory, Upton, 11973, NY, United States; Yoo S., Computational Science Initiative, Brookhaven National Laboratory, Upton, 11973, NY, United States","Distributed training across several quantum computers could significantly improve the training time and if we could share the learned model, not the data, it could potentially improve the data privacy as the training would happen where the data is located. One of the potential schemes to achieve this property is the federated learning (FL), which consists of several clients or local nodes learning on their own data and a central node to aggregate the models collected from those local nodes. However, to the best of our knowledge, no work has been done in quantum machine learning (QML) in federation setting yet. In this work, we present the federated training on hybrid quantum-classical machine learning models although our framework could be generalized to pure quantum machine learning model. Specifically, we consider the quantum neural network (QNN) coupled with classical pre-trained convolutional model. Our distributed federated learning scheme demonstrated almost the same level of trained model accuracies and yet significantly faster distributed training. It demonstrates a promising future research direction for scaling and privacy aspects. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Federated learning; Privacy-preserving AI; Quantum machine learning; Quantum neural networks; Variational quantum circuits","","S.Y.-C. Chen; Computational Science Initiative, Brookhaven National Laboratory, Upton, 11973, United States; email: ychen@bnl.gov","","MDPI AG","10994300","","","","English","Entropy","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85104124627"
"Christensen A.S.; Anatole von Lilienfeld O.","Christensen, Anders S. (35072373700); Anatole von Lilienfeld, O. (8685459200)","35072373700; 8685459200","On the role of gradients for machine learning of molecular energies and forces","2020","Machine Learning: Science and Technology","1","4","abba6f","","","123","10.1088/2632-2153/abba6f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125606480&doi=10.1088%2F2632-2153%2Fabba6f&partnerID=40&md5=6e958585d46aa04a5c4c6489d68a6ee9","Institute of Physical Chemistry, National Center for Computational Design and Discovery of Novel Materials (MARVEL), Department of Chemistry, University of Basel, Klingelbergstrasse 80, Basel, CH-4056, Switzerland","Christensen A.S., Institute of Physical Chemistry, National Center for Computational Design and Discovery of Novel Materials (MARVEL), Department of Chemistry, University of Basel, Klingelbergstrasse 80, Basel, CH-4056, Switzerland; Anatole von Lilienfeld O., Institute of Physical Chemistry, National Center for Computational Design and Discovery of Novel Materials (MARVEL), Department of Chemistry, University of Basel, Klingelbergstrasse 80, Basel, CH-4056, Switzerland","The accuracy of any machine learning potential can only be as good as the data used in the fitting process. The most efficient model therefore selects the training data that will yield the highest accuracy compared to the cost of obtaining the training data. We investigate the convergence of prediction errors of quantum machine learning models for organic molecules trained on energy and force labels, two common data types in molecular simulations. When training models for the potential energy surface of a single molecule, we find that the inclusion of atomic forces in the training data increases the accuracy of the predicted energies and forces 7-fold, compared to models trained on energy only. Surprisingly, for models trained on sets of organic molecules of varying size and composition in non-equilibrium conformations, inclusion of forces in the training does not improve the predicted energies of unseen molecules in new conformations. Predicted forces, however, improve about 7-fold. For the systems studied, we find that force labels and energy labels contribute equally per label to the convergence of the prediction errors. The optimal choice of what type of training data to include depends on several factors: the computational cost of acquiring the force and energy labels for training, the application domain, the property of interest and the complexity of the machine learning model. Based on our observations we describe key considerations for the creation of new datasets for potential energy surfaces of molecules which maximize the efficiency of the resulting machine learning models. © 2020 The Author(s). Published by IOP Publishing Ltd","Chemistry; Machine learning; Quantum mechanics","Conformations; Labels; Molecules; Potential energy; Potential energy surfaces; Quantum chemistry; Computational costs; Machine learning models; Molecular energies; Molecular simulations; Non equilibrium; Organic molecules; Prediction errors; Quantum machines; Machine learning","O. Anatole von Lilienfeld; Institute of Physical Chemistry, National Center for Computational Design and Discovery of Novel Materials (MARVEL), Department of Chemistry, University of Basel, Basel, Klingelbergstrasse 80, CH-4056, Switzerland; email: anatole.vonlilienfeld@unibas.ch","","IOP Publishing Ltd","26322153","","","","English","Mach. Learn.: Sci. Technol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85125606480"
"Bravo R.A.; Najafi K.; Gao X.; Yelin S.F.","Bravo, Rodrigo Araiza (57216909675); Najafi, Khadijeh (57188653044); Gao, Xun (57193201251); Yelin, Susanne F. (6603735814)","57216909675; 57188653044; 57193201251; 6603735814","Quantum Reservoir Computing Using Arrays of Rydberg Atoms","2022","PRX Quantum","3","3","030325","","","49","10.1103/PRXQuantum.3.030325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137638555&doi=10.1103%2FPRXQuantum.3.030325&partnerID=40&md5=995a9ccf2d53538bd46f24c06311b70c","Department of Physics, Harvard University, Cambridge, 02138, MA, United States; IBM Quantum, IBM T. J. Watson Research Center, Yorktown Heights, 10598, NY, United States","Bravo R.A., Department of Physics, Harvard University, Cambridge, 02138, MA, United States; Najafi K., Department of Physics, Harvard University, Cambridge, 02138, MA, United States, IBM Quantum, IBM T. J. Watson Research Center, Yorktown Heights, 10598, NY, United States; Gao X., Department of Physics, Harvard University, Cambridge, 02138, MA, United States; Yelin S.F., Department of Physics, Harvard University, Cambridge, 02138, MA, United States","Quantum computing promises to speed up machine-learning algorithms. However, noisy intermediate-scale quantum (NISQ) devices pose engineering challenges to realizing quantum machine-learning (QML) advantages. Recently, a series of QML computational models inspired by the noise-tolerant dynamics of the brain has emerged as a means to circumvent the hardware limitations of NISQ devices. In this paper, we introduce a quantum version of a recurrent neural network (RNN), a well-known model for neural circuits in the brain. Our quantum RNN (qRNN) makes use of the natural Hamiltonian dynamics of an ensemble of interacting spin-1/2 particles as a means for computation. In the limit where the Hamiltonian is diagonal, the qRNN recovers the dynamics of the classical version. Beyond this limit, we observe that the quantum dynamics of the qRNN provide it with quantum computational features that can aid it in computation. To this end, we study a fixed-geometry qRNN, i.e., a quantum reservoir computer, based on arrays of Rydberg atoms and show that the Rydberg reservoir is indeed capable of replicating the learning of several cognitive tasks such as multitasking, decision making, and long-term memory by taking advantage of several key features of this platform such as interatomic species interactions and quantum many-body scars.  © 2022 authors. Published by the American Physical Society. Published by the American Physical Society under the terms of the ""https://creativecommons.org/licenses/by/4.0/""Creative Commons Attribution 4.0 International license. Further distribution of this work must maintain attribution to the author(s) and the published article's title, journal citation, and DOI.","","Brain; Decision making; Dynamics; Hamiltonians; Learning algorithms; Quantum theory; Qubits; Reinforcement learning; Rydberg states; Spin dynamics; Computational modelling; Engineering challenges; Machine learning algorithms; Machine-learning; Quantum Computing; Quantum device; Quantum machines; Reservoir Computing; Rydberg atoms; Speed up; Recurrent neural networks","","","American Physical Society","26913399","","","","English","PRX. Quantum.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85137638555"
"Akhtar M.W.; Hassan S.A.; Ghaffar R.; Jung H.; Garg S.; Hossain M.S.","Akhtar, Muhammad Waseem (57219763826); Hassan, Syed Ali (36679064300); Ghaffar, Rizwan (26767664500); Jung, Haejoon (36975737700); Garg, Sahil (55601765300); Hossain, M. Shamim (24066717900)","57219763826; 36679064300; 26767664500; 36975737700; 55601765300; 24066717900","The shift to 6G communications: vision and requirements","2020","Human-centric Computing and Information Sciences","10","1","53","","","312","10.1186/s13673-020-00258-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097905889&doi=10.1186%2Fs13673-020-00258-2&partnerID=40&md5=13037c6a0325ef5351088cc562b98f43","School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan; Wi-Fi division of Broadcom, San Jose, CA, United States; Department of Information and Telecommunication Engineering, Incheon National University, Incheon, 22012, South Korea; Electrical Engineering Department, École de Technologie Supérieure, Montréal, H3C 1K3, QC, Canada; Department of Software Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, 11543, Saudi Arabia","Akhtar M.W., School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan; Hassan S.A., School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan; Ghaffar R., Wi-Fi division of Broadcom, San Jose, CA, United States; Jung H., Department of Information and Telecommunication Engineering, Incheon National University, Incheon, 22012, South Korea; Garg S., Electrical Engineering Department, École de Technologie Supérieure, Montréal, H3C 1K3, QC, Canada; Hossain M.S., Department of Software Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, 11543, Saudi Arabia","The sixth-generation (6G) wireless communication network is expected to integrate the terrestrial, aerial, and maritime communications into a robust network which would be more reliable, fast, and can support a massive number of devices with ultra-low latency requirements. The researchers around the globe are proposing cutting edge technologies such as artificial intelligence (AI)/machine learning (ML), quantum communication/quantum machine learning (QML), blockchain, tera-Hertz and millimeter waves communication, tactile Internet, non-orthogonal multiple access (NOMA), small cells communication, fog/edge computing, etc., as the key technologies in the realization of beyond 5G (B5G) and 6G communications. In this article, we provide a detailed overview of the 6G network dimensions with air interface and associated potential technologies. More specifically, we highlight the use cases and applications of the proposed 6G networks in various dimensions. Furthermore, we also discuss the key performance indicators (KPI) for the B5G/6G network, challenges, and future research opportunities in this domain. © 2020, The Author(s).","6G; Artificial intelligence; Beyond 5G; Blockchain; Cloud; IoT; Machine learning; Quantum communication","Antennas; Artificial intelligence; Benchmarking; Engineering education; Marine communication; Millimeter waves; Quantum communication; Queueing networks; Cutting edge technology; Key performance indicators; Key technologies; Maritime communication; Multiple access; Potential technologies; Research opportunities; Wireless communication network; 5G mobile communication systems","H. Jung; Department of Information and Telecommunication Engineering, Incheon National University, Incheon, 22012, South Korea; email: haejoonjung@inu.ac.kr; M.S. Hossain; Department of Software Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, 11543, Saudi Arabia; email: mshossain@ksu.edu.sa","","Springer Science and Business Media Deutschland GmbH","21921962","","","","English","Hum.-centric Comput. Inf. Sci.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85097905889"
"Jung H.; Sauerland L.; Stocker S.; Reuter K.; Margraf J.T.","Jung, Hyunwook (57195478920); Sauerland, Lena (57221940790); Stocker, Sina (57219663172); Reuter, Karsten (7006349643); Margraf, Johannes T. (7004585449)","57195478920; 57221940790; 57219663172; 7006349643; 7004585449","Machine-learning driven global optimization of surface adsorbate geometries","2023","npj Computational Materials","9","1","114","","","53","10.1038/s41524-023-01065-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163299696&doi=10.1038%2Fs41524-023-01065-w&partnerID=40&md5=e8e2a107a686fbf8e9f7acd02097d54d","Fritz-Haber-Institut der Max-Planck-Gesellschaft, Faradayweg 4-6, Berlin, D-14195, Germany","Jung H., Fritz-Haber-Institut der Max-Planck-Gesellschaft, Faradayweg 4-6, Berlin, D-14195, Germany; Sauerland L., Fritz-Haber-Institut der Max-Planck-Gesellschaft, Faradayweg 4-6, Berlin, D-14195, Germany; Stocker S., Fritz-Haber-Institut der Max-Planck-Gesellschaft, Faradayweg 4-6, Berlin, D-14195, Germany; Reuter K., Fritz-Haber-Institut der Max-Planck-Gesellschaft, Faradayweg 4-6, Berlin, D-14195, Germany; Margraf J.T., Fritz-Haber-Institut der Max-Planck-Gesellschaft, Faradayweg 4-6, Berlin, D-14195, Germany","The adsorption energies of molecular adsorbates on catalyst surfaces are key descriptors in computational catalysis research. For the relatively large reaction intermediates frequently encountered, e.g., in syngas conversion, a multitude of possible binding motifs leads to complex potential energy surfaces (PES), however. This implies that finding the optimal structure is a difficult global optimization problem, which leads to significant uncertainty about the stability of many intermediates. To tackle this issue, we present a global optimization protocol for surface adsorbate geometries which trains a surrogate machine learning potential on-the-fly. The approach is applicable to arbitrary surface models and adsorbates and minimizes both human intervention and the number of required DFT calculations by iteratively updating the training set with configurations explored by the algorithm. We demonstrate the efficiency of this approach for a diverse set of adsorbates on the Rh(111) and (211) surfaces. © 2023, The Author(s).","","Iterative methods; Machine learning; Potential energy; Quantum chemistry; Reaction intermediates; Structural optimization; Adsorbate-geometry; Adsorption energies; Catalysis research; Catalyst surfaces; Descriptors; Global optimisation; Machine-learning; Molecular adsorbate; Surface adsorbates; Syngas conversion; Global optimization","J.T. Margraf; Fritz-Haber-Institut der Max-Planck-Gesellschaft, Berlin, Faradayweg 4-6, D-14195, Germany; email: margraf@fhi.mpg.de","","Nature Research","20573960","","","","English","npj Computational Mater.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85163299696"
"Azevedo V.; Silva C.; Dutra I.","Azevedo, Vanda (57475583900); Silva, Carla (56263913400); Dutra, Inês (55950018900)","57475583900; 56263913400; 55950018900","Quantum transfer learning for breast cancer detection","2022","Quantum Machine Intelligence","4","1","5","","","89","10.1007/s42484-022-00062-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125678049&doi=10.1007%2Fs42484-022-00062-4&partnerID=40&md5=ad10c725faa15a27ff9b0a66ae8d1e34","Department of Computer Science, Faculty of Sciences, University of Porto, Porto, Portugal; CINTESIS and Department of Computer Science, Faculty of Sciences, University of Porto, Porto, Portugal","Azevedo V., Department of Computer Science, Faculty of Sciences, University of Porto, Porto, Portugal; Silva C., Department of Computer Science, Faculty of Sciences, University of Porto, Porto, Portugal; Dutra I., CINTESIS and Department of Computer Science, Faculty of Sciences, University of Porto, Porto, Portugal","One of the areas with the potential to be explored in quantum computing (QC) is machine learning (ML), giving rise to quantum machine learning (QML). In an era when there is so much data, ML may benefit from either speed, complexity or smaller amounts of storage. In this work, we explore a quantum approach to a machine learning problem. Based on the work of Mari et al., we train a set of hybrid classical-quantum neural networks using transfer learning (TL). Our task was to solve the problem of classifying full-image mammograms into malignant and benign, provided by BCDR. Throughout the course of our work, heatmaps were used to highlight the parts of the mammograms that were being targeted by the networks while evaluating different performance metrics. Our work shows that this method may hold benefits regarding the generalization of complex data; however, further tests are needed. We also show that, depending on the task, some architectures perform better than others. Nonetheless, our results were superior to those reported in the state-of-the-art (accuracy of 84% against 76.9%, respectively). In addition, experiments were conducted in a real quantum device, and results were compared with the classical and simulator. © 2022, The Author(s), under exclusive licence to Springer Nature Switzerland AG.","Applications; Breast cancer; Quantum machine learning; Quantum neural networks; Transfer learning","Complex networks; Digital storage; Diseases; Machine learning; Quantum computers; X ray screens; Breast Cancer; Breast cancer detection; Classical-quantum; Heatmaps; Machine learning problem; Quantum approach; Quantum Computing; Quantum machine learning; Quantum neural networks; Transfer learning; Mammography","I. Dutra; CINTESIS and Department of Computer Science, Faculty of Sciences, University of Porto, Porto, Portugal; email: ines@dcc.fc.up.pt","","Springer Science and Business Media Deutschland GmbH","25244906","","","","English","Quantum Mach. Intell.","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85125678049"
"Käming N.; Dawid A.; Kottmann K.; Lewenstein M.; Sengstock K.; Dauphin A.; Weitenberg C.","Käming, Niklas (57209731838); Dawid, Anna (57202688176); Kottmann, Korbinian (57219563954); Lewenstein, Maciej (7006744532); Sengstock, Klaus (7004239123); Dauphin, Alexandre (55504910900); Weitenberg, Christof (36338045000)","57209731838; 57202688176; 57219563954; 7006744532; 7004239123; 55504910900; 36338045000","Unsupervised machine learning of topological phase transitions from experimental data","2021","Machine Learning: Science and Technology","2","3","035037","","","66","10.1088/2632-2153/abffe7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109997906&doi=10.1088%2F2632-2153%2Fabffe7&partnerID=40&md5=4aaed7d5f51346a90a66dffaf4033992","ILP-Institut für Laserphysik, Universität Hamburg, Luruper Chaussee 149, Hamburg, 22761, Germany; Faculty of Physics, University of Warsaw, Pasteura 5, Warsaw, 02-093, Poland; ICFO-Institut de Ciències Fotòniques, The Barcelona Institute of Science and Technology, Av. Carl Friedrich Gauss 3, Castelldefels (Barcelona), 08860, Spain; ICREA, Pg. Lluís Campanys 23, Barcelona, 08010, Spain; The Hamburg Centre for Ultrafast Imaging, Luruper Chaussee 149, Hamburg, 22761, Germany; ZOQ-Zentrum für Optische Quantentechnologien, Universität Hamburg, Luruper Chaussee 149, Hamburg, 22761, Germany","Käming N., ILP-Institut für Laserphysik, Universität Hamburg, Luruper Chaussee 149, Hamburg, 22761, Germany; Dawid A., Faculty of Physics, University of Warsaw, Pasteura 5, Warsaw, 02-093, Poland, ICFO-Institut de Ciències Fotòniques, The Barcelona Institute of Science and Technology, Av. Carl Friedrich Gauss 3, Castelldefels (Barcelona), 08860, Spain; Kottmann K., ICFO-Institut de Ciències Fotòniques, The Barcelona Institute of Science and Technology, Av. Carl Friedrich Gauss 3, Castelldefels (Barcelona), 08860, Spain; Lewenstein M., ICFO-Institut de Ciències Fotòniques, The Barcelona Institute of Science and Technology, Av. Carl Friedrich Gauss 3, Castelldefels (Barcelona), 08860, Spain, ICREA, Pg. Lluís Campanys 23, Barcelona, 08010, Spain; Sengstock K., ILP-Institut für Laserphysik, Universität Hamburg, Luruper Chaussee 149, Hamburg, 22761, Germany, The Hamburg Centre for Ultrafast Imaging, Luruper Chaussee 149, Hamburg, 22761, Germany, ZOQ-Zentrum für Optische Quantentechnologien, Universität Hamburg, Luruper Chaussee 149, Hamburg, 22761, Germany; Dauphin A., ICFO-Institut de Ciències Fotòniques, The Barcelona Institute of Science and Technology, Av. Carl Friedrich Gauss 3, Castelldefels (Barcelona), 08860, Spain; Weitenberg C., ILP-Institut für Laserphysik, Universität Hamburg, Luruper Chaussee 149, Hamburg, 22761, Germany, The Hamburg Centre for Ultrafast Imaging, Luruper Chaussee 149, Hamburg, 22761, Germany","Identifying phase transitions is one of the key challenges in quantum many-body physics. Recently, machine learning methods have been shown to be an alternative way of localising phase boundaries from noisy and imperfect data without the knowledge of the order parameter. Here, we apply different unsupervised machine learning techniques, including anomaly detection and influence functions, to experimental data from ultracold atoms. In this way, we obtain the topological phase diagram of the Haldane model in a completely unbiased fashion. We show that these methods can successfully be applied to experimental data at finite temperatures and to the data of Floquet systems when post-processing the data to a single micromotion phase. Our work provides a benchmark for the unsupervised detection of new exotic phases in complex many-body systems.  © 2021 The Author(s).","Floquet systems; Machine learning; Topological matter; Unsupervised learning","Anomaly detection; Data handling; Phase diagrams; Topology; Finite temperatures; Influence functions; Machine learning methods; Many-body systems; Post processing; Topological phase; Unsupervised detection; Unsupervised machine learning; Machine learning","C. Weitenberg; ILP-Institut für Laserphysik, Universität Hamburg, Hamburg, Luruper Chaussee 149, 22761, Germany; email: christof.weitenberg@physnet.uni-hamburg.de","","IOP Publishing Ltd","26322153","","","","English","Mach. Learn.: Sci. Technol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85109997906"
"Egger D.J.; Gambella C.; Marecek J.; McFaddin S.; Mevissen M.; Raymond R.; Simonetto A.; Woerner S.; Yndurain E.","Egger, Daniel J. (55899174000); Gambella, Claudio (57200089744); Marecek, Jakub (29767701700); McFaddin, Scott (6506018865); Mevissen, Martin (35776936300); Raymond, Rudy (23393816800); Simonetto, Andrea (25655453500); Woerner, Stefan (56333768800); Yndurain, Elena (55090096800)","55899174000; 57200089744; 29767701700; 6506018865; 35776936300; 23393816800; 25655453500; 56333768800; 55090096800","Quantum Computing for Finance: State-of-the-Art and Future Prospects","2020","IEEE Transactions on Quantum Engineering","1","","3101724","","","293","10.1109/TQE.2020.3030314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166394966&doi=10.1109%2FTQE.2020.3030314&partnerID=40&md5=d0a9f6e10eece7d9004c7691b79b15a4","IBM Quantum, IBM Research - Zurich, Rüschlikon, 8803, Switzerland; IBM Quantum, IBM Research - Ireland, Dublin 15, Ireland; IBM Quantum, IBM T.J. Watson Research Center, Yorktown Heights, 10598, NY, United States; MIT-IBM Watson Artificial Intelligence Laboratory, Cambridge, 02142, MA, United States; IBM Quantum, IBM Research - Tokyo, Tokyo, 103-8510, Japan; IBM Quantum, IBM Services, Yorktown Heights, 10598, NY, United States","Egger D.J., IBM Quantum, IBM Research - Zurich, Rüschlikon, 8803, Switzerland; Gambella C., IBM Quantum, IBM Research - Ireland, Dublin 15, Ireland; Marecek J., IBM Quantum, IBM Research - Ireland, Dublin 15, Ireland; McFaddin S., IBM Quantum, IBM T.J. Watson Research Center, Yorktown Heights, 10598, NY, United States, MIT-IBM Watson Artificial Intelligence Laboratory, Cambridge, 02142, MA, United States; Mevissen M., IBM Quantum, IBM Research - Ireland, Dublin 15, Ireland; Raymond R., IBM Quantum, IBM Research - Tokyo, Tokyo, 103-8510, Japan; Simonetto A., IBM Quantum, IBM Research - Ireland, Dublin 15, Ireland; Woerner S., IBM Quantum, IBM Research - Zurich, Rüschlikon, 8803, Switzerland; Yndurain E., IBM Quantum, IBM Services, Yorktown Heights, 10598, NY, United States","This article outlines our point of view regarding the applicability, state-of-the-art, and potential of quantum computing for problems in finance. We provide an introduction to quantum computing as well as a survey on problem classes in finance that are computationally challenging classically and for which quantum computing algorithms are promising. In the main part, we describe in detail quantum algorithms for specific applications arising in financial services, such as those involving simulation, optimization, and machine learning problems. In addition, we include demonstrations of quantum algorithms on IBM Quantum back-ends and discuss the potential benefits of quantum algorithms for problems in financial services. We conclude with a summary of technical challenges and future prospects. © 2021 IEEE Journal of Microwaves. All rights reserved.","Financial management; machine learning algorithms; optimization; quantum computing; simulation","Learning algorithms; Machine learning; Quantum computers; Quantum theory; Computing algorithms; Financial managements; Financial service; Future prospects; Machine learning algorithms; Optimisations; Quantum algorithms; Quantum Computing; Simulation; State of the art; Finance","A. Simonetto; IBM Quantum, IBM Research - Ireland, Dublin 15, Ireland; email: andrea.simonetto@ibm.com","","Institute of Electrical and Electronics Engineers Inc.","26891808","","","","English","IEEE. Trans. Quantum. Eng.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85166394966"
"Zhang Y.; Xu X.","Zhang, Yun (56098302800); Xu, Xiaojie (57192066072)","56098302800; 57192066072","Machine learning glass transition temperature of styrenic random copolymers","2021","Journal of Molecular Graphics and Modelling","103","","107796","","","63","10.1016/j.jmgm.2020.107796","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096876072&doi=10.1016%2Fj.jmgm.2020.107796&partnerID=40&md5=17fb847d80b78d2b4b8bdcdbb7ee953c","North Carolina State University, Raleigh, 27695, NC, United States","Zhang Y., North Carolina State University, Raleigh, 27695, NC, United States; Xu X., North Carolina State University, Raleigh, 27695, NC, United States","For styrenic random copolymers, the glass transition temperature, Tg, is an important thermophysical parameter, which is sometimes difficult to measure and determine by experiments. Approaches based on data-driven modeling provide alternative methods to predict Tg in a fast and robust way. The Gaussian process regression (GPR) model is investigated to present the statistical relationship between important quantum chemical descriptors and glass transition temperature for styrenic random copolymers. 48 samples with Tg that have been measured experimentally are explored, which range from 246 K to 426 K. The modeling approach demonstrates high accuracy and stability, and provides a novel and promising tool for efficient and low-cost estimations of copolymer Tg values. © 2020 Elsevier Inc.","Copolymer; Glass transition temperature; Machine learning; Styrene","Glass; Machine learning; Quantum chemistry; Temperature; copolymer; polystyrene; Data-driven model; Gaussian process regression; High-accuracy; Model approach; Quantum chemical descriptors; Random copolymer; Statistical relationship; Thermo-physical parameters; algorithm; Article; Bayesian learning; calculation; comparative study; controlled study; cross validation; density functional theory; glass transition temperature; kernel method; machine learning; measurement accuracy; prediction; priority journal; quantitative analysis; Glass transition","Y. Zhang; North Carolina State University, Raleigh, 27695, United States; email: yzhang43@ncsu.edu","","Elsevier Inc.","10933263","","JMGMF","33248342","English","J. Mol. Graph. Model.","Article","Final","","Scopus","2-s2.0-85096876072"
"Abdulsalam G.; Meshoul S.; Shaiba H.","Abdulsalam, Ghada (57929518200); Meshoul, Souham (56308033400); Shaiba, Hadil (57203919884)","57929518200; 56308033400; 57203919884","Explainable Heart Disease Prediction Using Ensemble-Quantum Machine Learning Approach","2023","Intelligent Automation and Soft Computing","36","1","","761","779","78","10.32604/iasc.2023.032262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139973817&doi=10.32604%2Fiasc.2023.032262&partnerID=40&md5=191c2603c364cb32ee4df21038fd8b6c","College of Computer and Information Sciences, Princess Nourah bint Abdulrahman University, P.O.Box 84428, Riyadh, 11671, Saudi Arabia; Department of Information Technology, College of Computer and Information Sciences, Princess Nourah bint Abdulrahman University, P.O.Box 84428, Riyadh, 11671, Saudi Arabia; Department of Computer Science, College of Computer and Information Sciences, Princess Nourah bint Abdulrahman University, P.O.Box 84428, Riyadh, 11671, Saudi Arabia","Abdulsalam G., College of Computer and Information Sciences, Princess Nourah bint Abdulrahman University, P.O.Box 84428, Riyadh, 11671, Saudi Arabia; Meshoul S., Department of Information Technology, College of Computer and Information Sciences, Princess Nourah bint Abdulrahman University, P.O.Box 84428, Riyadh, 11671, Saudi Arabia; Shaiba H., Department of Computer Science, College of Computer and Information Sciences, Princess Nourah bint Abdulrahman University, P.O.Box 84428, Riyadh, 11671, Saudi Arabia","Nowadays, quantum machine learning is attracting great interest in a wide range of fields due to its potential superior performance and capabilities. The massive increase in computational capacity and speed of quantum computers can lead to a quantum leap in the healthcare field. Heart disease seriously threatens human health since it is the leading cause of death worldwide. Quantum machine learning methods can propose effective solutions to predict heart disease and aid in early diagnosis. In this study, an ensemble machine learning model based on quantum machine learning classifiers is proposed to predict the risk of heart disease. The proposed model is a bagging ensemble learning model where a quantum support vector classifier was used as a base classifier. Furthermore, in order to make the model’s outcomes more explainable, the importance of every single feature in the prediction is computed and visualized using Shapley Additive exPlanations (SHAP) framework. In the experimental study, other standalone quantum classifiers, namely, Quantum Support Vector Classifier (QSVC), Quantum Neural Network (QNN), and Variational Quantum Classifier (VQC) are applied and compared with classical machine learning classifiers such as Support Vector Machine (SVM), and Artificial Neural Network (ANN). The experimental results on the Cleveland dataset reveal the superiority of QSVC compared to the others, which explains its use in the proposed bagging model. The Bagging- QSVC model outperforms all aforementioned classifiers with an accuracy of 90.16% while showing great competitiveness compared to some state-of-the-art models using the same dataset. The results of the study indicate that quantum machine learning classifiers perform better than classical machine learning classifiers in predicting heart disease. In addition, the study reveals that the bagging ensemble learning technique is effective in improving the prediction accuracy of quantum classifiers. © 2023, Tech Science Press. All rights reserved.","Ensemble learning; Explainable machine learning; Heart disease prediction; Machine learning; Quantum machine learning","","S. Meshoul; Department of Information Technology, College of Computer and Information Sciences, Princess Nourah bint Abdulrahman University, Riyadh, P.O.Box 84428, 11671, Saudi Arabia; email: sbmeshoul@pnu.edu.sa","","Tech Science Press","10798587","","","","English","Intell. Autom. Soft Comp.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85139973817"
