id	label	cluster	weight<occurrences>
297	hybrid classical-quantum neural networks	2	1
298	quantum-inspired machine learning models	2	1
299	quantum-enhanced artificial neural network	2	1
300	hybrid quantum classical convolutional neural network	2	1
301	hybrid quantum-classical neural networks	2	1
302	qsurfnet	2	1
303	quantum k-means algorithm	2	1
304	quantum image generative learning	2	1
305	variational quantum deep neural network	2	1
306	quantum kernels	2	1
307	quantum extreme learning machine	2	1
